iata,icao,name,speed
A4F,A124,Antonov AN-124 Ruslan,475
A40,A140,Antonov AN-140,245
31N,A19N,Airbus A319neo,450
32N,A20N,Airbus A320neo,450
32Q,A21N,Airbus A321neo,450
AB6,A306,Airbus A300-600,470
ABY,A306,Airbus A300-600F,475
AB3,A30B,Airbus A300,470
ABX,A30B,Airbus A300B4-200F,475
310,A310,Airbus A310,475
312,A310,Airbus A310-200,475
313,A310,Airbus A310-300,475
31F,A310,Airbus A310F,475
31X,A310,Airbus A310-200F,475
31Y,A310,Airbus A310-300F,475
318,A318,Airbus A318,450
319,A319,Airbus A319,450
320,A320,Airbus A320,450
32A,A320,Airbus A320-200(SL),450
32S,A320,Airbus A320,450
321,A321,Airbus A321,450
32B,A321,Airbus A321-200(SL),450
330,A330,Airbus A330,490
332,A332,Airbus A330-200,490
33F,A332,Airbus A330-200F,490
33X,A332,Airbus A330-200F,470
333,A333,Airbus A330-300,490
340,A340,Airbus A340,490
342,A342,Airbus A340-200,490
343,A343,Airbus A340-300,490
345,A345,Airbus A340-500,490
346,A346,Airbus A340-600,490
380,A388,Airbus A380,495
388,A388,Airbus A380,495
HS7,A748,Hawker-Siddeley HS.748,210
ANF,AN12,Antonov AN-12,315
AN4,AN24,Antonov AN-24,245
YN7,AN24,Xian Yunshuji Y7,245
A26,AN26,Antonov AN-26,245
A30,AN30,Antonov AN-30,245
A32,AN32,Antonov AN-32,245
AN7,AN72,Antonov AN-72,380
AT4,AT43,ATR 42-300,260
ATZ,AT43,ATR 42-300F,260
AT5,AT45,ATR 42-500,260
AT7,AT72,ATR 72,260
ATP,ATP,British Aerospace ATP,245
MBH,B105,Eurocopter (MBB) Bo.105,135
BE1,B190,Beechcraft 1900,270
BEH,B190,Beechcraft 1900D,270
BES,B190,Beechcraft 1900C,270
7M7,B37M,Boeing 737-7 Max,450
7M8,B38M,Boeing 737-8 Max,450
7M9,B39M,Boeing 737-9 Max,450
7MJ,B3XM,Boeing 737-10 Max,450
141,B461,BAe 146-100,390
142,B462,BAe 146-200,390
143,B463,BAe 146-300,390
703,B703,Boeing 707-300,475
70F,B703,Boeing 707F,475
70M,B703,Boeing 707C,475
717,B712,Boeing 717,490
B72,B720,Boeing 720B,475
721,B721,Boeing 727-100,475
72X,B721,Boeing 727-100F,475
722,B722,Boeing 727-200,475
72S,B722,Boeing 727-200 Adv,475
72Y,B722,Boeing 727-200F,475
731,B731,Boeing 737-100,430
732,B732,Boeing 737-200,430
73M,B732,Boeing 737-200C,430
73X,B732,Boeing 737-200M,430
733,B733,Boeing 737-300,440
73C,B733,Boeing 737-300,430
73F,B733,Boeing 737-300F,440
73Y,B733,Boeing 737-300F,440
734,B734,Boeing 737-400,440
735,B735,Boeing 737-500,440
736,B736,Boeing 737-600,470
737,B737,Boeing 737-???,450
73G,B737,Boeing 737-700,470
73W,B737,Boeing 737-700W,470
738,B738,Boeing 737-800,470
73H,B738,Boeing 737-800W,470
739,B739,Boeing 737-900,470
73J,B739,Boeing 737-900,450
741,B741,Boeing 747-100,495
74T,B741,Boeing 747-100F,495
742,B742,Boeing 747-200,495
74C,B742,Boeing 747-200C,495
74X,B742,Boeing 747-200F,495
743,B743,Boeing 747-300,495
74D,B743,Boeing 747-300C,495
744,B744,Boeing 747-400,495
74E,B744,Boeing 747-400C,495
74F,B744,Boeing 747-400F,495
74J,B744,Boeing 747-400D,495
74Y,B744,Boeing 747-400F,495
74H,B748,Boeing 747-8i,495
74N,B748,Boeing 747-8F,495
74R,B74R,Boeing 747SR,490
74V,B74R,Boeing 747SRF,495
74L,B74S,Boeing 747SP,490
752,B752,Boeing 757-200,475
757,B752,Boeing 757-200,475
75F,B752,Boeing 757-200F,475
75M,B752,Boeing 757-200M,475
75W,B752,Boeing 757-200W,475
753,B753,Boeing 757-300,475
762,B762,Boeing 767-200,475
76X,B762,Boeing 767-200F,475
763,B763,Boeing 767-300,475
767,B763,Boeing 767-300,475
76W,B763,Boeing 767-300W,475
76Y,B763,Boeing 767-300F,475
76Y,B763,Boeing 767-300F,475
764,B764,Boeing 767-400,475
772,B772,Boeing 777-200,490
777,B772,Boeing 777-200,490
77F,B772,Boeing 777-200F,490
77X,B772,Boeing 777-200F,490
773,B773,Boeing 777-300,490
77L,B77L,Boeing 777-200LR,490
77W,B77W,Boeing 777-300ER,490
787,B788,Boeing 787-8,470
788,B788,Boeing 787-8,470
221,BCS1,Airbus A220-100,450
223,BCS3,Airbus A220-300,450
SHB,BELF,Shorts SC-5 Belfast,310
LOH,C130,Lockheed C-130 Hercules,290
208,C208,Cessna C208 Caravan,170
CS2,C212,CASA 212 Aviocar,240
CWC,C46,Curtiss C-46 Commando,150
CL4,CL44,Bombardier CL-44,315
CCJ,CL60,Bombardier Challenger,440
CS5,CN35,CASA CN-235,245
SSC,CONC,Aerospatiale/BAC Concorde,1165
CR1,CRJ1,Bombardier CRJ100,430
CR2,CRJ2,Bombardier CRJ200,430
CRJ,CRJ2,Bombardier CRJ200,430
CR7,CRJ7,Bombardier CRJ700,430
CRA,CRJ7,Bombardier CRJ705,430
CR9,CRJ9,Bombardier CRJ900,430
CVV,CVLP,Convair CV-240F,190
CVX,CVLP,Convair CV-440F,190
CV5,CVLT,Convair CV-580,440
D28,D228,Fairchild Dornier Do.228,270
D38,D328,Fairchild Dornier Do.328,270
D10,DC10,Douglas DC-10,475
D11,DC10,Douglas DC-10-10/15,475
D1C,DC10,Douglas DC-10-30/40,475
D1F,DC10,Douglas DC-10F,475
D1M,DC10,Douglas DC-10C,475
D1X,DC10,Douglas DC-10-10F,475
D3F,DC3,Douglas DC-3F,150
DC3,DC3,Douglas DC-3,190
D6F,DC6,Douglas DC-6F,240
DC6,DC6,Douglas DC-6,240
D8T,DC85,Douglas DC-8-50F,470
D8L,DC86,Douglas DC-8-62,470
D8Q,DC87,Douglas DC-8-72,470
DC9,DC9,Douglas DC-9,435
D91,DC91,Douglas DC-9-10,435
D9X,DC91,Douglas DC-9-10F,435
D92,DC92,Douglas DC-9-20,435
D93,DC93,Douglas DC-9-30,435
D9C,DC93,Douglas DC-9-30F,435
D94,DC94,Douglas DC-9-40,435
D9F,DC94,Douglas DC-9-40F,435
D95,DC95,Douglas DC-9-50,435
DH1,DH8A,De-Havilland Canada DHC-8-100,310
DH2,DH8B,De-Havilland Canada DHC-8-200,310
DH3,DH8C,Bombardier Dash 8 Q300,310
DH4,DH8D,Bombardier Dash 8 Q400,310
DH7,DHC7,DeHavilland Dash 7,290
DH8,DHC8,Bombardier Dash 8 Q300/Q400,310
DHD,DOVE,De Havilland DH.104 Dove,170
EMB,E110,Embraer 110,245
EM2,E120,Embraer 120,260
ER3,E135,Embraer 135,430
ERD,E140,Embraer 140,430
ER4,E145,Embraer 145,430
ERJ,E145,Embraer 145,430
E70,E170,Embraer 170,430
E75,E170,Embraer 175,430
E90,E190,Embraer 190,430
E95,E190,Embraer 195,430
290,E290,Embraer E190-E2,450
295,E295,Embraer E195-E2,450
MD9,EXPL,MD Helicopters MD900 Explorer,135
100,F100,Fokker 100,410
FK7,F27,Fokker F27,240
F21,F28,Fokker F-28-1000,410
F22,F28,Fokker F-28-2000,410
F23,F28,Fokker F-28-3000,410
F24,F28,Fokker F-28-4000,410
F28,F28,Fokker F-28,410
F50,F50,Fokker 50,245
F70,F70,Fokker 70,410
GRG,G21,Grumman G.21 Goose,150
GRM,G73T,Grumman G.73 Turbo Mallard,210
CCX,GLEX,Bombardier Global Express,510
GRJ,GLFx,Gulfstream II/III/IV/V,510
DHH,HERN,De Havilland DH.114 Heron,150
I14,I114,Ilyushin IL-114,245
IL8,IL18,Ilyushin IL-18,315
IL6,IL62,Ilyushin IL-62,470
IL7,IL76,Ilyushin IL-76,470
ILW,IL86,Ilyushin IL-86,470
I93,IL96,Ilyushin IL-96-300,475
I9F,IL96,Ilyushin IL-96F,475
I9M,IL96,Ilyushin IL-96M,475
I9X,IL96,Ilyushin IL-96-300F,475
I9Y,IL96,Ilyushin IL-96TF,475
IL9,IL96,Ilyushin IL-96,470
FRJ,J328,Fairchild Dornier 328JET,490
J31,JS31,British Aerospace Jetstream 31,245
J32,JS32,British Aerospace Jetstream 32,245
J41,JS41,British Aerospace Jetstream 41,250
JU5,JU52,Junkers Ju52/3M,190
L10,L101,Lockheed L-1011 Tristar,470
LOE,L188,Lockheed L-188 Electra,310
L4T,L410,LET 410,190
LJ4,LJ45,Learjet 45,510
ALM,LOAD,Ayres LM-200 Loadmaster,150
M11,MD11,McDonnell-Douglas MD-11,475
M1F,MD11,McDonnell-Douglas MD-11F,475
M80,MD80,McDonnell-Douglas MD-80,450
M81,MD81,McDonnell-Douglas MD-81,450
M82,MD82,McDonnell-Douglas MD-82,450
M83,MD83,McDonnell-Douglas MD-83,450
M87,MD87,McDonnell-Douglas MD-87,450
M88,MD88,McDonnell-Douglas MD-88,450
M90,MD90,McDonnell-Douglas MD-90,460
MU2,MU2,Mitsubishi Mu-2,270
ND2,N262,Nord 262,260
PN6,P68,Partenavia P.68,170
PAG,PA31,Piper Navajo,290
PL2,PC12,Pilatus PC-12,300
PL6,PC6T,Pilatus PC-6,135
AR1,RJ1H,Avro RJ100,390
AR7,RJ70,Avro RJ70,390
AR8,RJ85,Avro RJ85,390
AX1,RX1H,Avro RJX100,390
AX8,RX85,Avro RJX85,390
S58,S58T,Sikorsky S-58T,135
NDC,S601,Aerospatiale SN-601 Corvette,300
S61,S61,Sikorsky S-61,135
S76,S76,Sikorsky S-76,135
SWM,SA26,Fairchild Swearingen Metroliner,250
S20,SB20,Saab 2000,360
SFB,SB20,Saab 2000,360
SHS,SC7,Shorts SC-7 Skyvan,190
SF3,SF34,Saab SF-340,245
SH3,SH33,Shorts SD-330,190
SH6,SH36,Shorts SD-360,240
SU9,SU95,Sukhoi Superjet 100,440
TU3,T134,Tupolev Tu-134,450
TU5,T154,Tupolev Tu-154,450
T20,T204,Tupolev Tu-204/214,450
VCV,VISC,Vickers Viscount,245
YN2,Y12,Harbin Y12,245
YK4,YK40,Yakovlev Yak 40,310
YK2,YK42,Yakovlev Yak 42,410
YS1,YS11,NAMC YS-11,270
